,ROC,ROC5,Momemtum2,BBmavg,BBup,BBpctB,DIp,DIn,DI,ADX,ema20,sma20,ema60,sma60,MACDoscil,MACDsignal,rsi,SfastK,SfastD,SslowD,SMI,SMIsignal,Yc
1802,0.008355771,0.019048235,1.189834,73.36968205,78.98274785,0.315611355,15.88336538,29.92015269,30.64565322,26.55966605,72.36952172,73.22035795,72.29973222,73.59067568,-1.545210284,-1.192958981,44.73659327,0.383754928,0.276925366,0.216526814,-44.0503159,-32.94630188,0
1803,-0.009118426,-0.007318253,-0.054054,73.04465606,78.46878615,0.289296649,15.02658631,30.36109552,33.78561889,27.07580554,72.22471298,72.9343297,72.25216822,73.58730845,-1.514154764,-1.257198138,42.41279249,0.292482507,0.319805393,0.263072119,-43.04792023,-34.96662555,0
1804,0.0151517,0.026595492,0.432671,72.77163819,77.91932002,0.378043236,18.45306832,28.3972267,21.22539115,26.6579188,72.19671051,72.6705468,72.24162785,73.58604998,-1.35225166,-1.276208842,47.32399388,0.5516402,0.409292545,0.335341101,-39.99179674,-35.97165979,0
1805,-0.009063553,0.013751243,0.432655,72.43234299,76.91450491,0.403817157,18.79863758,26.89825382,17.72465479,26.01982851,72.10956522,72.334517,72.21015431,73.54479047,-1.282233464,-1.277413766,44.85233822,0.550538647,0.464887118,0.397995019,-37.18283538,-36.21389491,0
1806,-0.009146453,-0.003820961,-1.298004,72.0995272,75.94153908,0.348988933,17.64511813,28.71602276,23.87970704,25.86696269,71.96890977,72.0005277,72.15843394,73.50155787,-1.285261418,-1.278983297,42.46391497,0.42823786,0.510138902,0.461439522,-35.44744955,-36.06060584,0
1807,-0.01077761,-0.022954342,-1.406166,71.81093037,75.36173761,0.245238609,16.86962104,31.02487263,29.55507095,26.130399,71.76953922,71.7560308,72.08358427,73.43067138,-1.358051394,-1.294796916,39.8010489,0.260578568,0.413118358,0.462714793,-34.91009013,-35.8305027,0
1808,0.002319352,-0.011516564,-0.59491,71.54298067,74.66706597,0.305260789,20.2750662,28.34199276,16.59279015,25.44914122,71.60460911,71.4480119,72.01650849,73.36514252,-1.382104576,-1.312258448,40.6598022,0.3638787,0.350898376,0.424718545,-34.51058619,-35.56651939,1
1809,0.009988517,-0.016679747,0.865333,71.2864943,73.8950575,0.309025941,18.89998786,27.50495887,18.54321925,24.95586108,71.52234653,71.21229145,71.97468369,73.33167198,-1.306628726,-1.311132504,44.36347723,0.565575063,0.396677444,0.386898059,-33.62281839,-35.17777919,1
1810,-0.001530258,-0.009146453,0.59491,71.06572219,73.02360902,0.394015465,19.26975797,26.80027935,16.34581133,24.34085753,71.43761667,70.99503985,71.93068367,73.28843938,-1.244837316,-1.297873466,43.90940514,0.440928071,0.456793944,0.401456588,-32.75928209,-34.69407977,1
1811,-0.016988886,-0.016988886,-1.298004,70.8962613,72.69352687,0.175905023,17.94913459,30.6746894,26.17143976,24.4716134,71.2476387,70.8403413,71.84911528,73.23864207,-1.316334621,-1.301565697,39.16125503,0.037036938,0.347846691,0.40043936,-34.10211409,-34.57568663,1
